LOTE;JEFE;VARIEDAD;HAS;PEP;1° ETAPA;2° ETAPA;ESTADO
014;ALEXANDER;AUTUM CRISP;34.76;PU/23.YT.014.131.;POST COSECHA;PRODUCCIÓN;1
005;ANAMELBA;ALLISON;17.02;IU/23.YT.005.131.;HABILITACIÓN 23;-;1
006;ANAMELBA;ALLISON;34.26;IU/23.YT.006.131.;HABILITACIÓN 23;-;1
008;ANAMELBA;ALLISON;31.92;IU/23.YT.008.131.;HABILITACIÓN 23;-;1
010;ALEXANDER;AUTUM CRISP;31.28;PU/23.YT.010.131.;HABILITACIÓN 22;PRODUCCIÓN;1
79A;JULIO;AUTUM CRISP;2.34;PU/23.FT.79A.131.;HABILITACIÓN 22;PRODUCCIÓN;1
81A;JULIO;KRISSY;0.69;PU/23.FT.81A.131.;HABILITACIÓN 22;PRODUCCIÓN;1
002;ANAMELBA;COTTON CANDY;17.16;PU/23.Y9.002.131.;FORMACIÓN;PRODUCCIÓN;1
012;ALEXANDER;COTTON CANDY;30.64;PU/23.Y9.012.131.;FORMACIÓN;PRODUCCIÓN;1
061;ERNESTO;COTTON CANDY;20.91;PU/23.Y9.061.131.;FORMACIÓN;PRODUCCIÓN;1
082;JULIO;COTTON CANDY;31.7;PU/23.F9.082.131.;FORMACIÓN;PRODUCCIÓN;1
091;ANAMELBA;CANDY HEART;3.4;PU/23.Y6.091.131.;FORMACIÓN;PRODUCCIÓN;1
003;ANAMELBA;CANDY HEART;18.87;PU/23.Y6.003.131.;HABILITACIÓN 22;PRODUCCIÓN;1
072;JULIO;AUTUM CRISP;25.31;PU/23.F8.072.131.;POST COSECHA;PRODUCCIÓN;1
073;JULIO;AUTUM CRISP;33.56;PU/23.F8.073.131.;POST COSECHA;PRODUCCIÓN;1
81B;JULIO;AUTUM CRISP;0.76;IU/23.FT.81B.131.;HABILITACIÓN 23;-;1
79B;JULIO;AUTUM CRISP;2.71;IU/23.FT.79B.131.;HABILITACIÓN 23;-;1
016;;AUTUM CRISP;33.28;PU/23.Y2.016.131.;HABILITACIÓN 23;-;1
018;MANUEL;AUTUM CRISP;15.38;PU/23.Y2.018.131.;HABILITACIÓN 23;-;1
050;MANUEL;RED GLOBE;33.11;PU/23.Y2.050.131.;HABILITACIÓN 22;PRODUCCIÓN;1
071;JULIO;SABLE SEDDLES;27.39;PU/23.FW.010.131.;HABILITACIÓN 22;PRODUCCIÓN;1
019;MANUEL;TIMPSON;15.41;PU/23.Y4.019.131.;FORMACIÓN;PRODUCCIÓN;1
020;MANUEL;TIMPSON;29.76;PU/23.Y4.020.131.;FORMACIÓN;PRODUCCIÓN;1
022;MANUEL;TIMPSON;31.38;PU/23.Y4.022.131.;FORMACIÓN;PRODUCCIÓN;1
024;ALEXANDER;TIMPSON;32.38;PU/23.Y4.024.131.;FORMACIÓN;PRODUCCIÓN;1
026;ERNESTO;TIMPSON;34.19;PU/23.Y4.026.131.;FORMACIÓN;PRODUCCIÓN;1
028;ERNESTO;TIMPSON;32.44;PU/23.Y4.028.131.;FORMACIÓN;PRODUCCIÓN;1
030;MANUEL;TIMPSON;31.27;PU/23.Y4.030.131.;FORMACIÓN;PRODUCCIÓN;1
032;ERNESTO;TIMPSON;38.7;PU/23.Y4.032.131.;FORMACIÓN;PRODUCCIÓN;1
035;GABRIEL;TIMPSON;12.7;PU/23.Y4.035.131.;FORMACIÓN;PRODUCCIÓN;1
036;GABRIEL;TIMPSON;16;PU/23.S4.036.131.;FORMACIÓN;PRODUCCIÓN;1
037;GABRIEL;TIMPSON;15.4;PU/23.O4.037.131.;FORMACIÓN;PRODUCCIÓN;1
038;GABRIEL;TIMPSON;23.4;PU/23.O4.038.131.;FORMACIÓN;PRODUCCIÓN;1
040;ERNESTO;TIMPSON;49.26;PU/23.Y4.040.131.;FORMACIÓN;PRODUCCIÓN;1
093;ANAMELBA;TIMPSON;8.13;PU/23.Y4.093.131.;FORMACIÓN;PRODUCCIÓN;1
074;JULIO;TIMPSON;39.99;PU/23.F4.074.131.;FORMACIÓN;PRODUCCIÓN;1
078;JULIO;TIMPSON;14.18;PU/23.F4.078.131.;FORMACIÓN;PRODUCCIÓN;1
A01;;S/V;48.62;IU/23.FT.A01.131.;HABILITACIÓN 23;-;1
A02;;S/V;15;IU/23.F4.A02.131.;HABILITACIÓN 23;-;1
A03;;S/V;17;IU/23.F9.A03.131.;HABILITACIÓN 23;-;1
280;;VARIEDADES NUEVAS;18;PV/23.FB.280.131.;VIVERO;-;1
281;;VARIEDADES NUEVAS;1;PV/23.FB.280.131.;VIVERO;-;1
051;;CITRICOS;1.2;PC/23.Y2.051.131.;ERMITA;-;1
Z99;;S/V;693.4;PU/23.YA.Z99.132.;GENERAL;PRODUCCIÓN;1
